"","Date","Time","Record","Temperature","Pressure","Level","CellEnd","Velocity1","Velocity2","VelocityX","SigNoise","Flow"
"1",2013-06-11,"11:00:00 AM",9660,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2013-06-11,"11:10:00 AM",9661,17.68,0,6.525,4.5,0.5,0,1.5,32.7,0.023
"3",2013-06-11,"11:20:00 AM",9662,17.7,0,6.522,4.5,1.4,0,1.8,32.5,0.063
"4",2013-06-11,"11:30:00 AM",9663,17.7,0,6.522,4.5,1.6,0,1.9,32.9,0.072
"5",2013-06-11,"11:40:00 AM",9664,17.72,0,6.519,4.5,2.2,0,2.4,32.2,0.099
"6",2013-06-11,"11:50:00 AM",9665,17.74,0,6.518,4.5,3.2,0,3.2,32.9,0.143
"7",2013-06-11,"12:00:00 PM",9666,17.78,0,6.518,4.5,2.6,0,2.6,33.5,0.116
"8",2013-06-11,"12:10:00 PM",9667,17.77,0,6.516,4.5,2.7,0,2.8,33.1,0.121
"9",2013-06-11,"12:20:00 PM",9668,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2013-06-11,"12:30:00 PM",9669,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2013-06-11,"12:40:00 PM",9670,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2013-06-11,"12:50:00 PM",9671,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2013-06-11,"01:00:00 PM",9672,17.85,0,6.509,4.5,3.6,0,3.6,32.5,0.159
"14",2013-06-11,"01:10:00 PM",9673,17.87,0,6.507,4.5,3.2,0,3.2,32.2,0.14
"15",2013-06-11,"01:20:00 PM",9674,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2013-06-11,"01:30:00 PM",9675,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2013-06-11,"01:40:00 PM",9676,17.88,0,6.505,4.5,1.5,0,1.7,32.5,0.066
"18",2013-06-11,"01:50:00 PM",9677,17.94,0,6.505,4.5,1.6,0,1.7,32.7,0.07
"19",2013-06-11,"02:00:00 PM",9678,17.99,0,6.504,4.5,1.4,0,1.7,32,0.061
"20",2013-06-11,"02:10:00 PM",9679,17.99,0,6.503,4.5,2.2,0,2.4,32,0.096
"21",2013-06-11,"02:20:00 PM",9680,18,0,6.502,4.5,2.1,0,2.3,32.2,0.091
"22",2013-06-11,"02:30:00 PM",9681,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2013-06-11,"02:40:00 PM",9682,18.02,0,6.498,4.5,1.1,0,1.6,32.5,0.047
"24",2013-06-11,"02:50:00 PM",9683,18.03,0,6.497,4.5,0.8,0,1.4,32,0.034
"25",2013-06-11,"03:00:00 PM",9684,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2013-06-11,"03:10:00 PM",9685,18.07,0,6.495,4.5,0.7,0,1.7,31.8,0.03
"27",2013-06-11,"03:20:00 PM",9686,18.07,0,6.494,4.5,0.1,0,1.9,32.2,0.004
"28",2013-06-11,"03:30:00 PM",9687,18.07,0,6.494,4.5,NA,0,1.5,32.5,0
"29",2013-06-11,"03:40:00 PM",9688,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2013-06-11,"03:50:00 PM",9689,18.1,0,6.492,4.5,0.6,0,1.8,31.8,0.025
"31",2013-06-11,"04:00:00 PM",9690,18.09,0,6.491,4.5,0.7,0,1.7,31.2,0.03
"32",2013-06-11,"04:10:00 PM",9691,18.08,0,6.49,4.5,0.4,0,1.7,31.6,0.017
"33",2013-06-11,"04:20:00 PM",9692,18.08,0,6.49,4.5,1.1,0,1.8,31.4,0.047
"34",2013-06-11,"04:30:00 PM",9693,18.09,0,6.488,4.5,0.8,0,1.7,31.4,0.034
"35",2013-06-11,"04:40:00 PM",9694,18.09,0,6.487,4.5,0.2,0,1.5,31.4,0.008
"36",2013-06-11,"04:50:00 PM",9695,18.1,0,6.486,4.5,1.4,0,1.8,31.4,0.059
"37",2013-06-11,"05:00:00 PM",9696,18.09,0,6.486,4.5,0.9,0,1.3,31.8,0.038
"38",2013-06-11,"05:10:00 PM",9697,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2013-06-11,"05:20:00 PM",9698,18.12,0,6.485,4.5,0,0,0,31.2,0
"40",2013-06-11,"05:30:00 PM",9699,18.1,0,6.484,4.5,0,0,0,31.6,0
"41",2013-06-11,"05:40:00 PM",9700,18.09,0,6.483,4.5,0,0,0,31.8,0
"42",2013-06-11,"05:50:00 PM",9701,18.09,0,6.483,4.5,0,0,0,32,0
"43",2013-06-11,"06:00:00 PM",9702,18.16,0,6.483,4.5,0.7,0,1.7,32.2,0.029
"44",2013-06-11,"06:10:00 PM",9703,18.15,0,6.482,4.5,0,0,0,32.7,0
"45",2013-06-11,"06:20:00 PM",9704,18.11,0,6.481,4.5,0,0,0,31.8,0
"46",2013-06-11,"06:30:00 PM",9705,18.09,0,6.479,4.5,NA,0,2.2,31.6,0
"47",2013-06-11,"06:40:00 PM",9706,18.1,0,6.479,4.5,0,0,0,32,0
"48",2013-06-11,"06:50:00 PM",9707,18.11,0,6.477,4.5,0,0,0,31.8,0
"49",2013-06-11,"07:00:00 PM",9708,18.11,0,6.475,4.5,0,0,0,32,0
"50",2013-06-11,"07:10:00 PM",9709,18.11,0,6.474,4.5,0,0,0,31.8,0
"51",2013-06-11,"07:20:00 PM",9710,18.11,0,6.473,4.5,0,0,0,31.6,0
"52",2013-06-11,"07:30:00 PM",9711,18.11,0,6.472,4.5,0,0,0,31.8,0
"53",2013-06-11,"07:40:00 PM",9712,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2013-06-11,"07:50:00 PM",9713,18.13,0,6.472,4.5,0,0,0,31.4,0
"55",2013-06-11,"08:00:00 PM",9714,18.12,0,6.471,4.5,0,0,0,31.4,0
"56",2013-06-11,"08:10:00 PM",9715,18.13,0,6.471,4.5,0,0,0,31,0
"57",2013-06-11,"08:20:00 PM",9716,18.13,0,6.47,4.5,0.2,0,1.7,31.4,0.008
"58",2013-06-11,"08:30:00 PM",9717,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",2013-06-11,"08:40:00 PM",9718,18.13,0,6.468,4.5,0,0,0,31.6,0
"60",2013-06-11,"08:50:00 PM",9719,18.13,0,6.467,4.5,0,0,0,31,0
"61",2013-06-11,"09:00:00 PM",9720,18.12,0,6.466,4.5,0,0,0,31.2,0
"62",2013-06-11,"09:10:00 PM",9721,18.12,0,6.465,4.5,0,0,0,31.4,0
"63",2013-06-11,"09:20:00 PM",9722,18.12,0,6.465,4.5,0,0,0,30.7,0
"64",2013-06-11,"09:30:00 PM",9723,18.12,0,6.463,4.5,0,0,0,30.7,0
"65",2013-06-11,"09:40:00 PM",9724,18.14,0,6.462,4.5,0,0,0,30.7,0
"66",2013-06-11,"09:50:00 PM",9725,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2013-06-11,"10:00:00 PM",9726,18.11,0,6.46,4.5,0,0,0,30.3,0
"68",2013-06-11,"10:10:00 PM",9727,18.11,0,6.46,4.5,0,0,0,30.1,0
"69",2013-06-11,"10:20:00 PM",9728,18.12,0,6.459,4.5,0,0,0,30.1,0
"70",2013-06-11,"10:30:00 PM",9729,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",2013-06-11,"10:40:00 PM",9730,18.11,0,6.459,4.5,0,0,0,30.1,0
"72",2013-06-11,"10:50:00 PM",9731,18.11,0,6.458,4.5,0,0,0,30.1,0
"73",2013-06-11,"11:00:00 PM",9732,18.09,0,6.459,4.5,0,0,0,30.1,0
"74",2013-06-11,"11:10:00 PM",9733,18.08,0,6.459,4.5,0,0,0,30.1,0
"75",2013-06-11,"11:20:00 PM",9734,18.08,0,6.458,4.5,0,0,0,30.5,0
"76",2013-06-11,"11:30:00 PM",9735,18.08,0,6.458,4.5,0,0,0,30.7,0
"77",2013-06-11,"11:40:00 PM",9736,18.08,0,6.457,4.5,0,0,0,30.1,0
"78",2013-06-11,"11:50:00 PM",9737,18.1,0,6.457,4.5,0,0,0,30.1,0
"79",2013-06-12,"12:00:00 AM",9738,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",2013-06-12,"12:10:00 AM",9739,18.03,0,6.456,4.5,0,0,0,30.3,0
"81",2013-06-12,"12:20:00 AM",9740,18.04,0,6.456,4.5,0,0,0,30.5,0
"82",2013-06-12,"12:30:00 AM",9741,18.04,0,6.454,4.5,0,0,0,30.3,0
"83",2013-06-12,"12:40:00 AM",9742,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",2013-06-12,"12:50:00 AM",9743,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",2013-06-12,"01:00:00 AM",9744,18.03,0,6.453,4.5,0,0,0,29.7,0
"86",2013-06-12,"01:10:00 AM",9745,18.01,0,6.453,4.5,0.1,0,1.1,29.9,0.004
"87",2013-06-12,"01:20:00 AM",9746,18,0,6.452,4.5,0.8,0,1.3,29.7,0.031
"88",2013-06-12,"01:30:00 AM",9747,18,0,6.452,4.5,0.2,0,0.9,29.9,0.008
"89",2013-06-12,"01:40:00 AM",9748,17.99,0,6.451,4.5,0,0,0,29.7,0
"90",2013-06-12,"01:50:00 AM",9749,18.02,0,6.449,4.5,0.7,0,1,29.7,0.027
"91",2013-06-12,"02:00:00 AM",9750,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",2013-06-12,"02:10:00 AM",9751,17.99,0,6.448,4.5,0.8,0,1.1,29.9,0.031
"93",2013-06-12,"02:20:00 AM",9752,17.98,0,6.447,4.5,1.3,0,1.4,30.7,0.051
"94",2013-06-12,"02:30:00 AM",9753,17.98,0,6.447,4.5,2,0,2,30.5,0.078
"95",2013-06-12,"02:40:00 AM",9754,17.97,0,6.447,4.5,2,0,2,30.5,0.078
"96",2013-06-12,"02:50:00 AM",9755,17.98,0,6.447,4.5,1.1,0,1.1,30.5,0.043
"97",2013-06-12,"03:00:00 AM",9756,17.97,0,6.447,4.5,2.2,0,2.2,30.3,0.086
"98",2013-06-12,"03:10:00 AM",9757,17.96,0,6.446,4.5,2.2,0,2.2,29.7,0.085
"99",2013-06-12,"03:20:00 AM",9758,17.95,0,6.446,4.5,1.9,0,2,29.9,0.074
"100",2013-06-12,"03:30:00 AM",9759,17.91,0,6.446,4.5,1.5,0,1.5,30.1,0.058
"101",2013-06-12,"03:40:00 AM",9760,17.95,0,6.446,4.5,2.1,0,2.1,30.1,0.082
"102",2013-06-12,"03:50:00 AM",9761,17.94,0,6.445,4.5,1.8,0,1.8,30.5,0.07
"103",2013-06-12,"04:00:00 AM",9762,17.93,0,6.445,4.5,2.1,0,2.1,30.7,0.081
"104",2013-06-12,"04:10:00 AM",9763,17.93,0,6.445,4.5,1.9,0,1.9,31.6,0.074
"105",2013-06-12,"04:20:00 AM",9764,17.93,0,6.443,4.5,2.2,0,2.2,31.4,0.085
"106",2013-06-12,"04:30:00 AM",9765,17.92,0,6.443,4.5,2.5,0,2.5,30.7,0.096
"107",2013-06-12,"04:40:00 AM",9766,17.91,0,6.442,4.5,2,NA,2,31,0.077
"108",2013-06-12,"04:50:00 AM",9767,17.9,0,6.441,4.5,2.9,NA,2.9,30.5,0.111
"109",2013-06-12,"05:00:00 AM",9768,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",2013-06-12,"05:10:00 AM",9769,17.87,0,6.439,4.5,3.6,0.2,3.6,29.9,0.138
"111",2013-06-12,"05:20:00 AM",9770,17.89,0,6.438,4.5,3.9,0.3,3.9,29.7,0.149
"112",2013-06-12,"05:30:00 AM",9771,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",2013-06-12,"05:40:00 AM",9772,17.88,0,6.438,4.5,3,0.1,3,29.9,0.114
"114",2013-06-12,"05:50:00 AM",9773,17.87,0,6.437,4.5,4.3,0.9,4.4,29.9,0.164
"115",2013-06-12,"06:00:00 AM",9774,17.86,0,6.437,4.5,4.3,0.8,4.4,29.7,0.164
"116",2013-06-12,"06:10:00 AM",9775,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",2013-06-12,"06:20:00 AM",9776,17.86,0,6.437,4.5,5.3,1.1,5.4,29.5,0.202
"118",2013-06-12,"06:30:00 AM",9777,17.85,0,6.436,4.5,4,0.5,4,31.4,0.152
"119",2013-06-12,"06:40:00 AM",9778,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",2013-06-12,"06:50:00 AM",9779,17.84,0,6.436,4.5,3.8,0.7,3.9,31.2,0.144
"121",2013-06-12,"07:00:00 AM",9780,17.83,0,6.435,4.5,4.9,0.5,4.9,30.5,0.186
"122",2013-06-12,"07:10:00 AM",9781,17.83,0,6.435,4.5,5,1.4,5.2,30.3,0.19
"123",2013-06-12,"07:20:00 AM",9782,17.84,0,6.435,4.5,5.4,0.9,5.5,29.9,0.205
"124",2013-06-12,"07:30:00 AM",9783,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",2013-06-12,"07:40:00 AM",9784,17.82,0,6.435,4.5,4.7,0.6,4.7,29.9,0.178
"126",2013-06-12,"07:50:00 AM",9785,17.82,0,6.434,4.5,3.6,0.5,3.6,31,0.136
"127",2013-06-12,"08:00:00 AM",9786,NA,NA,NA,NA,NA,NA,NA,NA,NA
