Date,Time,Record,Temperature,Level,Velocity1,Velocity2,Velocity_X,Flow
1/02/13,"12:00:00 AM",37,NAN,6.605,-1.2,-1.5,-1.9,-0.063
1/02/13,"12:10:00 AM",38,24.51,6.605,-2.5,-2,-3.2,-0.131
1/02/13,"12:20:00 AM",39,NAN,6.605,-2.5,-2,-3.2,-0.131
1/02/13,"12:30:00 AM",40,24.49,6.604,-1.5,-1.2,-1.9,-0.078
1/02/13,"12:40:00 AM",41,24.48,6.604,0.1,-0.7,0.7,0.005
1/02/13,"12:50:00 AM",42,24.49,6.603,-0.9,-0.6,-1.1,-0.047
1/02/13,"1:00:00 AM",43,24.47,6.603,-0.1,-0.3,-0.3,-0.005
1/02/13,"1:10:00 AM",44,NAN,6.603,-0.1,-0.3,-0.3,-0.005
1/02/13,"1:20:00 AM",45,24.44,6.602,-1.4,-1.3,-1.9,-0.073
1/02/13,"1:30:00 AM",46,24.43,6.602,-1.1,-1,-1.5,-0.057
1/02/13,"1:40:00 AM",47,NAN,6.602,-1.1,-1,-1.5,-0.057
1/02/13,"1:50:00 AM",48,24.41,6.601,-3.5,-2.3,-4.2,-0.182
1/02/13,"2:00:00 AM",49,24.41,6.601,-3.7,-2.1,-4.3,-0.192
1/02/13,"2:10:00 AM",50,24.41,6.6,-5,-2.3,-5.5,-0.259
1/02/13,"2:20:00 AM",51,NAN,6.6,-5,-2.3,-5.5,-0.259
1/02/13,"2:30:00 AM",52,24.39,6.598,-4.5,-2.4,-5.1,-0.233
1/02/13,"2:40:00 AM",53,NAN,6.598,-4.5,-2.4,-5.1,-0.233
1/02/13,"2:50:00 AM",54,24.37,6.596,-5.1,-3.4,-6.1,-0.263
1/02/13,"3:00:00 AM",55,NAN,6.596,-5.1,-3.4,-6.1,-0.263
1/02/13,"3:10:00 AM",56,24.35,6.596,-3.7,-2.6,-4.5,-0.191
1/02/13,"3:20:00 AM",57,24.34,6.595,-4.3,-2.6,-5,-0.221
1/02/13,"3:30:00 AM",58,NAN,6.595,-4.3,-2.6,-5,-0.221
1/02/13,"3:40:00 AM",59,24.31,6.594,-3.5,-3.2,-4.7,-0.18
1/02/13,"3:50:00 AM",60,24.29,6.593,-2.2,-2,-3,-0.113
1/02/13,"4:00:00 AM",61,NAN,6.593,-2.2,-2,-3,-0.113
1/02/13,"4:10:00 AM",62,24.27,6.593,-2.1,-2.1,-3,-0.108
1/02/13,"4:20:00 AM",63,24.25,6.593,-2.7,-2.1,-3.4,-0.138
1/02/13,"4:30:00 AM",64,24.25,6.593,-2.5,-2.3,-3.4,-0.128
1/02/13,"4:40:00 AM",65,NAN,6.593,-2.5,-2.3,-3.4,-0.128
1/02/13,"4:50:00 AM",66,24.22,6.593,0.7,-1.6,1.7,0.036
1/02/13,"5:00:00 AM",67,NAN,6.593,0.7,-1.6,1.7,0.036
1/02/13,"5:10:00 AM",68,24.19,6.592,-0.4,-1.2,-1.3,-0.02
1/02/13,"5:20:00 AM",69,NAN,6.592,-0.4,-1.2,-1.3,-0.02
1/02/13,"5:30:00 AM",70,24.18,6.592,0.4,-0.6,0.7,0.02
1/02/13,"5:40:00 AM",71,24.18,6.592,0.4,-0.6,0.7,0.02
1/02/13,"5:50:00 AM",72,24.15,6.591,1.6,-0.4,1.6,0.082
1/02/13,"6:00:00 AM",73,NAN,6.591,1.6,-0.4,1.6,0.082
1/02/13,"6:10:00 AM",74,24.13,6.59,2.1,0.1,2.1,0.107
1/02/13,"6:20:00 AM",75,24.1,6.59,2.9,0.3,2.9,0.148
1/02/13,"6:30:00 AM",76,24.09,6.59,3.1,0.7,3.2,0.158
1/02/13,"6:40:00 AM",77,24.09,6.589,3.9,1.1,4.1,0.199
1/02/13,"6:50:00 AM",78,24.09,6.589,2.7,0.4,2.7,0.138
1/02/13,"7:00:00 AM",79,24.08,6.589,2.7,0.4,2.7,0.138
1/02/13,"7:10:00 AM",80,24.07,6.589,3.5,0.7,3.6,0.178
1/02/13,"7:20:00 AM",81,24.05,6.588,5.4,1.5,5.6,0.275
1/02/13,"7:30:00 AM",82,24.04,6.588,5.4,1.9,5.7,0.275
1/02/13,"7:40:00 AM",83,24.04,6.587,5.4,1.8,5.7,0.274
1/02/13,"7:50:00 AM",84,NAN,6.587,5.4,1.8,5.7,0.274
1/02/13,"8:00:00 AM",85,NAN,6.587,5.4,1.8,5.7,0.274
1/02/13,"8:10:00 AM",86,24.01,6.585,3.2,0.8,3.3,0.162
1/02/13,"8:20:00 AM",87,NAN,6.585,3.2,0.8,3.3,0.162
1/02/13,"8:30:00 AM",88,24.02,6.584,4.9,1.4,5.1,0.248
1/02/13,"8:40:00 AM",89,24.02,6.583,3.8,1.2,4,0.192
1/02/13,"8:50:00 AM",90,24.01,6.582,1.8,-0.2,1.8,0.091
1/02/13,"9:00:00 AM",91,24.01,6.582,0.9,-0.4,1,0.045
