Date,Time,Record,Temperature,Conductivity,pH,Turbidity,Dissolved Oxygen,,,,
1/02/13,12:00:00 AM,37,24.34,319,7.1,3.8,82.6,,,,
1/02/13,12:10:00 AM,38,24.33,319,7.1,3.8,82.7,,,,
1/02/13,12:20:00 AM,39,24.32,320,7.1,3.7,82.3,,,,
1/02/13,12:30:00 AM,40,24.31,320,7.1,3.8,82.6,,,,
1/02/13,12:40:00 AM,41,24.3,320,7.1,3.8,82.5,,,,
1/02/13,12:50:00 AM,42,24.29,321,7.1,3.8,82.2,,,,
1/02/13,1:00:00 AM,43,24.29,321,7.1,3.8,82.3,,,,
1/02/13,1:10:00 AM,44,24.28,321,7.1,3.8,82.5,,,,
1/02/13,1:20:00 AM,45,24.27,322,7.1,3.8,82.4,,,,
1/02/13,1:30:00 AM,46,24.26,322,7.1,3.7,82.3,,,,
1/02/13,1:40:00 AM,47,24.25,322,7.1,3.8,82,,,,
1/02/13,1:50:00 AM,48,24.24,322,7.1,4.2,82.1,,,,
1/02/13,2:00:00 AM,49,24.24,323,7.1,3.8,82.3,,,,
1/02/13,2:10:00 AM,50,24.22,323,7.1,3.7,82,,,,
1/02/13,2:20:00 AM,51,24.21,324,7.1,3.7,82.3,,,,
1/02/13,2:30:00 AM,52,24.2,324,7.1,3.6,82.1,,,,
1/02/13,2:40:00 AM,53,24.19,324,7.1,3.6,82.2,,,,
1/02/13,2:50:00 AM,54,24.17,325,7.1,3.8,82.2,,,,
1/02/13,3:00:00 AM,55,24.17,325,7.1,3.6,82,,,,
1/02/13,3:10:00 AM,56,24.16,325,7.1,3.5,82.1,,,,
1/02/13,3:20:00 AM,57,24.15,326,7.1,3.7,82.2,,,,
1/02/13,3:30:00 AM,58,24.14,326,7.1,3.6,82.3,,,,
1/02/13,3:40:00 AM,59,24.12,327,7.1,3.4,82.2,,,,
1/02/13,3:50:00 AM,60,24.11,327,7.11,3.6,82.3,,,,
1/02/13,4:00:00 AM,61,24.09,327,7.1,3.7,82.1,,,,
1/02/13,4:10:00 AM,62,24.08,328,7.1,3.4,82.2,,,,
1/02/13,4:20:00 AM,63,24.07,328,7.1,3.6,82.2,,,,
1/02/13,4:30:00 AM,64,24.06,328,7.1,3.4,81.9,,,,
1/02/13,4:40:00 AM,65,24.05,329,7.1,3.5,82,,,,
1/02/13,4:50:00 AM,66,24.03,329,7.11,3.3,82.3,,,,
1/02/13,5:00:00 AM,67,24.01,330,7.11,3.8,81.9,,,,
1/02/13,5:10:00 AM,68,24.01,330,7.11,3.6,82.2,,,,
1/02/13,5:20:00 AM,69,23.99,330,7.1,3.5,82.3,,,,
1/02/13,5:30:00 AM,70,23.98,331,7.1,3.4,82.2,,,,
1/02/13,5:40:00 AM,71,23.97,331,7.11,3.5,81.8,,,,
1/02/13,5:50:00 AM,72,23.96,331,7.11,3.4,82,,,,
1/02/13,6:00:00 AM,73,23.94,332,7.11,3.3,82.3,,,,
1/02/13,6:10:00 AM,74,23.93,332,7.11,3.5,82.4,,,,
1/02/13,6:20:00 AM,75,23.91,332,7.11,4,82.1,,,,
1/02/13,6:30:00 AM,76,23.91,333,7.1,3.4,81.7,,,,
1/02/13,6:40:00 AM,77,23.89,333,7.11,3.7,81.7,,,,
1/02/13,6:50:00 AM,78,23.89,334,7.11,3.3,82,,,,
1/02/13,7:00:00 AM,79,23.87,334,7.11,3.3,82.1,,,,
1/02/13,7:10:00 AM,80,23.86,335,7.11,3.3,82.2,,,,
1/02/13,7:20:00 AM,81,23.85,335,7.11,3.3,82.3,,,,
1/02/13,7:30:00 AM,82,23.85,335,7.11,3.4,82.1,,,,
1/02/13,7:40:00 AM,83,23.84,336,7.11,3.3,81.6,,,,
1/02/13,7:50:00 AM,84,23.84,336,7.11,3.4,81.9,,,,
1/02/13,8:00:00 AM,85,23.83,336,7.11,3.3,82.5,,,,
1/02/13,8:10:00 AM,86,23.83,336,7.11,3.3,81.7,,,,
1/02/13,8:20:00 AM,87,23.83,337,7.11,3.3,81.6,,,,
1/02/13,8:30:00 AM,88,23.83,337,7.11,3.4,81.3,,,,
1/02/13,8:40:00 AM,89,23.82,337,7.12,10.1,82.8,,,,
1/02/13,8:50:00 AM,90,23.82,337,7.12,3.4,81.9,,,,
1/02/13,9:00:00 AM,91,23.81,338,7.12,3.2,81.9,,,,
1/02/13,9:10:00 AM,92,23.81,338,7.12,3.1,81.9,,,,
1/02/13,9:20:00 AM,93,23.81,339,7.12,3.2,82.1,,,,
1/02/13,9:30:00 AM,94,23.8,340,7.12,4.2,82.3,,,,
1/02/13,9:40:00 AM,95,23.81,340,7.12,3.1,82.4,,,,
1/02/13,9:50:00 AM,96,23.82,340,7.13,3.2,82.2,,,,
1/02/13,10:00:00 AM,97,23.83,340,7.13,4,82.3,,,,
1/02/13,10:10:00 AM,98,23.85,340,7.13,3,82.6,,,,
1/02/13,10:20:00 AM,99,23.86,341,7.12,3,82.9,,,,
1/02/13,10:30:00 AM,100,23.88,341,7.13,2.7,82.4,,,,
1/02/13,10:50:00 AM,0,23.94,342,7.14,2.8,82.4,,,,
