"TOA5,"Glasshouse_CR800","CR800","15248","CR800.Std.11","CPU:Mod_SERF_Glasshouse-ISCO(V3.1).CR8","48132","TenMinute"
"TIMESTAMP,"RECORD","LoggerBattV_Min","LoggerPanelTemp","ARG_Temp","ARG_Pressure","ARG_Level","ARG_CellEnd","ARG_Velocity1","ARG_Velocity2","ARG_VelocityX","ARG_SigNoise","ARG_Flow","YSI_Temp_degC","YSI_SpCond_uS","YSI_Conductivity_uS","YSI_Depth_m","YSI_pH","YSI_pH_mV","YSI_Turbidity_NTU","YSI_DO_Percent","YSI_BattVolts"
"TS,"RN","Volts","deg C","Celcius","decibar","m","m","cm/s","cm/s","cm/s","dB","Cumecs","degC","uS/cm","uS/cm","m","","mV","NTU","%","V","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp""
2013-02-12 07:00:00,1110,12.35,19.81,23.14,0,0.879,0.4,3.2,1,3.4,51.8,0.05,23.12,483,466,0.084,7.39,-90.6,2.3,64.4,12.3
2013-02-12 07:10:00,1111,12.35,19.89,23.14,0,0.879,0.4,3.2,1,3.4,51.8,0.05,23.1,483,465,0.085,7.38,-90.3,2.2,64.4,12.3
2013-02-12 07:20:00,1112,12.35,20.02,23.14,0,0.879,0.4,3.2,1,3.4,51.8,0.05,23.08,483,465,0.085,7.38,-90.5,2.2,63.8,12.3
2013-02-12 07:30:00,1113,12.35,20.21,23.14,0,0.879,0.4,3.2,1,3.4,51.8,0.05,23.07,483,465,0.085,7.38,-90.5,2.4,64.1,12.3
2013-02-12 07:40:00,1114,12.35,20.42,23.14,0,0.879,0.4,3.2,1,3.4,51.8,0.05,23.06,483,465,0.085,7.39,-90.7,2.3,64,12.3
2013-02-12 07:50:00,1115,12.36,20.69,23.14,0,0.879,0.4,3.2,1,3.4,51.8,0.05,23.05,483,465,0.085,7.38,-90.5,2.4,63.9,12.3
2013-02-12 08:00:00,1116,12.34,20.99,23.14,0,0.879,0.4,3.2,1,3.4,51.8,0.05,23.03,483,465,0.084,7.38,-90.5,2.2,63.9,12.3
2013-02-12 08:10:00,1117,12.35,21.31,23.14,0,0.879,0.4,3.2,1,3.4,51.8,0.05,23.03,483,465,0.084,7.38,-90.3,2.3,64,12.3
2013-02-12 08:20:00,1118,12.37,21.7,23.14,0,0.879,0.4,3.2,1,3.4,51.8,0.05,23.02,483,465,0.085,7.38,-90.5,2.2,64,12.3
